item_id,url,name,brand,price,final_price,estimated_retail_price,currency,model,model_no,gender,year,condition,images,description,box,papers,case_size,case_material,case_shape,dial_color,movement,band_color,bracelet_material,water_resistance,details,fetch_date
230008,https://www.watchfinder.co.uk/Rolex/Explorer%20II/16570/1780/item/230008,Explorer II,Rolex,"8,650","8,650",,£,Explorer II,16570,,Approx. 1996,,"['https://images.watchfinder.co.uk/imgv2/stock/230008/Rolex-ExplorerII-16570-230008-5-221228-150112.jpg;quality=85;w=188;h=240', 'https://images.watchfinder.co.uk/images/watchfinderimages/media/views/0/2022/12/02/United-States-of-America.png']",,No,No,,,,,,,,,,2023-05-17 23:12:18
229582,https://www.watchfinder.co.uk/Chopard/Mille%20Miglia/168992-3022/33258/item/229582,Mille Miglia,Chopard,"2,420","2,420",,£,Mille Miglia,168992-3022,,Approx. 2016,,"['https://images.watchfinder.co.uk/imgv3/stock/229582/Chopard-MilleMiglia-168992-3022-229582-230503-111707.jpg;quality=85;w=188;h=240', 'https://images.watchfinder.co.uk/images/watchfinderimages/media/views/0/2022/12/02/United-States-of-America.png']",,No,No,,,,,,,,,,2023-05-17 23:12:18
236943,https://www.watchfinder.co.uk/Piaget/Polo/G0A34002/22887/item/236943,Polo,Piaget,"9,750","9,750",,£,Polo,G0A34002,,2010,,"['https://images.watchfinder.co.uk/imgv3/stock/236943/Piaget-Polo-G0A34002-236943-230503-120146.jpg;quality=85;w=188;h=240', 'https://images.watchfinder.co.uk/images/watchfinderimages/media/views/0/2022/12/02/United-States-of-America.png']",,Yes,Yes,,,,,,,,,,2023-05-17 23:12:18
235497,https://www.watchfinder.co.uk/Zenith/Pilot/29.2430.679/21.C753/29590/item/235497,Pilot,Zenith,"3,990","3,990",,£,Pilot,29.2430.679/21.C753,,2016,,"['https://images.watchfinder.co.uk/imgv3/stock/235497/Zenith-Pilot-29.2430.67921.C753-235497-230503-114933.jpg;quality=85;w=188;h=240', 'https://images.watchfinder.co.uk/images/watchfinderimages/media/views/0/2022/12/02/United-States-of-America.png']",,Yes,Yes,,,,,,,,,,2023-05-17 23:12:18
235073,https://www.watchfinder.co.uk/Tag%20Heuer/Formula%201/CAH7010.BT0717/15235/item/235073,Formula 1,Tag Heuer,"1,250","1,250",,£,Formula 1,CAH7010.BT0717,,2007,,"['https://images.watchfinder.co.uk/imgv3/stock/235073/TagHeuer-Formula1-CAH7010.BA0854-235073-230503-114136.jpg;quality=85;w=188;h=240', 'https://images.watchfinder.co.uk/images/watchfinderimages/media/views/0/2022/12/02/United-States-of-America.png']",,Yes,Yes,,,,,,,,,,2023-05-17 23:12:18
241066,https://www.watchfinder.co.uk/Cartier/Calibre%20De%20Cartier/W7100042/28032/item/241066,Calibre De Cartier,Cartier,"8,720","8,720",,£,Calibre De Cartier,W7100042,,2014,,"['https://images.watchfinder.co.uk/imgv3/stock/241066/Cartier-CalibreDeCartier-W7100042-241066-230504-112059.jpg;quality=85;w=188;h=240', 'https://images.watchfinder.co.uk/images/watchfinderimages/media/views/0/2022/12/02/United-States-of-America.png']",,Yes,Yes,,,,,,,,,,2023-05-17 23:12:18
218383,https://www.watchfinder.co.uk/Panerai/Radiomir%201940/PAM00627/32067/item/218383,Radiomir 1940,Panerai,"8,570","8,570",,£,Radiomir 1940,PAM00627,,2016,,"['data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==', 'https://images.watchfinder.co.uk/images/watchfinderimages/media/views/0/2022/12/02/United-States-of-America.png']",,Yes,Yes,,,,,,,,,,2023-05-17 23:12:19
242885,https://www.watchfinder.co.uk/IWC/Pilot%E2%80%99s%20Le%20Petit%20Prince/IW377714/35065/item/242885,Pilot’s Le Petit Prince,IWC,"4,150","4,150",,£,Pilot’s Le Petit Prince,IW377714,,2019,,"['data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==', 'https://images.watchfinder.co.uk/images/watchfinderimages/media/views/0/2022/12/02/United-States-of-America.png']",,Yes,Yes,,,,,,,,,,2023-05-17 23:12:19
241889,https://www.watchfinder.co.uk/Oris/Williams%20F1%20Team%20Chronograph/774%207717%2041%2084%20MB/50532/item/241889,Williams F1 Team Chronograph,Oris,850,850,,£,Williams F1 Team Chronograph,774 7717 41 84 MB,,Approx. 2020,,"['data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==', 'https://images.watchfinder.co.uk/images/watchfinderimages/media/views/0/2022/12/02/United-States-of-America.png']",,Yes,No,,,,,,,,,,2023-05-17 23:12:19
232995,https://www.watchfinder.co.uk/Omega/Constellation/1510.30.00/1378/item/232995,Constellation,Omega,950,950,,£,Constellation,1510.30.00,,Approx. 1994,,"['data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==', 'https://images.watchfinder.co.uk/images/watchfinderimages/media/views/0/2022/12/02/United-States-of-America.png']",,No,No,,,,,,,,,,2023-05-17 23:12:19
242349,https://www.watchfinder.co.uk/IWC/Pilot%E2%80%99s%20Chrono/IW389101/43074/item/242349,Pilot’s Chrono,IWC,"7,275","7,275",,£,Pilot’s Chrono,IW389101,,2021,,"['data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==', 'https://images.watchfinder.co.uk/images/watchfinderimages/media/views/0/2022/12/02/United-States-of-America.png']",,Yes,Yes,,,,,,,,,,2023-05-17 23:12:19
247591,https://www.watchfinder.co.uk/Breitling/Avenger%20Chronograph%2045/A13317/58585/item/247591,Avenger Chronograph 45,Breitling,"4,150","4,150",,£,Avenger Chronograph 45,A13317,,2021,,"['data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==']",,Yes,Yes,,,,,,,,,,2023-05-17 23:12:19
